id,added_on_year,type,bedrooms,bathrooms,town,price
3681,2024,Detached Duplex,5,5.0,Jahi,270000000.0
3682,2024,Terraced Duplex,4,4.0,Asokoro District,350000000.0
3683,2024,Terraced Duplex,4,4.0,Jahi,400000000.0
3684,2024,Detached Duplex,6,6.0,Apo,500000000.0
3685,2024,Detached Bungalow,3,3.0,Gaduwa,250000000.0
3686,2024,Detached Duplex,6,6.0,Katampe,1300000000.0
3687,2024,Detached Duplex,4,4.0,Apo,450000000.0
3688,2024,Flat / Apartment,3,3.0,Jahi,180000000.0
3689,2024,Terraced Duplex,4,4.0,Apo,100000000.0
3690,2024,Terraced Duplex,4,5.0,Gwarinpa,55000000.0
3691,2024,Terraced Duplex,4,4.0,Lugbe District,150000000.0
3692,2024,Terraced Duplex,4,5.0,Gaduwa,160000000.0
3693,2024,Terraced Duplex,4,4.0,Jahi,250000000.0
3694,2024,Terraced Duplex,6,6.0,Guzape District,250000000.0
3695,2024,Terraced Duplex,5,5.0,Life Camp,550000000.0
3696,2024,House,4,5.0,Guzape District,270000000.0
3697,2024,House,4,5.0,Jahi,270000000.0
3698,2024,Terraced Duplex,4,5.0,Katampe,275000000.0
3699,2024,Flat / Apartment,3,4.0,Katampe,160000000.0
3700,2024,Terraced Duplex,5,6.0,Durumi,250000000.0
3701,2024,House,5,5.0,Katampe,800000000.0
3702,2024,Terraced Duplex,4,4.0,Katampe,120000000.0
3703,2024,Terraced Duplex,4,4.0,Jahi,360000000.0
3704,2024,Terraced Duplex,4,4.0,Jahi,290000000.0
3705,2024,Terraced Duplex,4,5.0,Jahi,175000000.0
3706,2024,Terraced Duplex,4,4.0,Katampe,23800000.0
3707,2024,Terraced Duplex,4,5.0,Jahi,380000000.0
3708,2024,Flat / Apartment,3,3.0,Life Camp,80000000.0
3709,2024,Terraced Duplex,4,6.0,Life Camp,150000000.0
3710,2024,Terraced Duplex,4,4.0,Jahi,190000000.0
3711,2024,Terraced Duplex,4,4.0,Life Camp,150000000.0
3712,2024,Terraced Duplex,4,4.0,Durumi,220000000.0
3713,2024,Detached Duplex,4,4.0,Lokogoma District,180000000.0
3714,2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
3715,2024,Detached Duplex,4,4.0,Gwarinpa,140000000.0
3716,2024,Terraced Duplex,4,5.0,Jahi,180000000.0
3717,2024,Terraced Duplex,4,5.0,Kado,270000000.0
3718,2024,Terraced Duplex,5,5.0,Jahi,300000000.0
3719,2024,Detached Duplex,5,5.0,Wuye,700000000.0
3720,2024,Flat / Apartment,3,3.0,Durumi,95000000.0
3721,2024,Flat / Apartment,1,1.0,Idu Industrial,28000000.0
3722,2024,Flat / Apartment,2,2.0,Kubwa,65000000.0
3723,2024,Detached Duplex,5,6.0,Guzape District,880000000.0
3724,2024,Terraced Duplex,5,6.0,Katampe,2400000000.0
3725,2024,Detached Duplex,8,8.0,Asokoro District,625000000.0
3726,2024,Detached Duplex,5,5.0,Life Camp,280000000.0
