added_on_year,type,bedrooms,bathrooms,town,price
2024,Detached Bungalow,3,3.0,Lokogoma District,100000000.0
2025,Terraced Duplex,4,4.0,Guzape District,3000000.0
2024,Terraced Duplex,5,5.0,Jahi,250000000.0
2024,Terraced Duplex,5,6.0,Life Camp,250000000.0
2024,Detached Bungalow,4,5.0,Gwarinpa,180000000.0
2024,Detached Duplex,4,5.0,Gwarinpa,190000000.0
2024,Detached Duplex,6,6.0,Guzape District,1500000000.0
2025,Terraced Duplex,4,4.0,Jahi,300000000.0
2025,Terraced Duplex,4,4.0,Jahi,250000000.0
2024,Terraced Duplex,4,5.0,Life Camp,150000000.0
2024,Detached Duplex,5,6.0,Gwarinpa,400000000.0
2024,Terraced Duplex,4,4.0,Karsana,95000000.0
2025,Detached Duplex,6,6.0,Asokoro District,4900000000.0
2025,Detached Duplex,5,5.0,Wuye,400000000.0
2025,Terraced Duplex,4,4.0,Jahi,165000000.0
2024,Detached Duplex,4,4.0,Lugbe District,230000000.0
2025,Detached Duplex,7,7.0,Asokoro District,1800000000.0
2025,Detached Duplex,4,4.0,Life Camp,280000000.0
2025,Detached Bungalow,3,4.0,Lugbe District,35000000.0
2025,Terraced Duplex,3,3.0,Lugbe District,111745365.0
2025,Detached Duplex,5,5.0,Wuye,780000000.0
2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
2025,Terraced Duplex,4,4.0,Wuye,350000000.0
2025,Terraced Duplex,4,4.0,Wuye,320000000.0
2024,Flat / Apartment,4,4.0,Idu Industrial,85000000.0
2025,Detached Duplex,8,8.0,Asokoro District,1500000000.0
2025,Flat / Apartment,2,3.0,Jahi,97000000.0
2025,Detached Duplex,5,5.0,Lugbe District,120000000.0
2025,Detached Duplex,4,4.0,Kubwa,90000000.0
2024,Flat / Apartment,3,3.0,Life Camp,180000000.0
2025,Detached Duplex,5,5.0,Jabi,4000000000.0
2025,Terraced Duplex,4,6.0,Jahi,230000000.0
2025,Flat / Apartment,2,3.0,Life Camp,70000000.0
2024,Terraced Duplex,2,3.0,Kubwa,55000000.0
2025,Flat / Apartment,3,3.0,Maitama District,500000000.0
2025,Detached Bungalow,3,4.0,Gwarinpa,165000000.0
2025,Flat / Apartment,3,4.0,Wuye,150000000.0
2025,Flat / Apartment,2,2.0,Life Camp,70000000.0
2024,Detached Duplex,4,4.0,Asokoro District,200000000.0
2024,Terraced Duplex,3,3.0,Asokoro District,130000000.0
2025,Flat / Apartment,2,2.0,Life Camp,65000000.0
2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
2025,Flat / Apartment,2,2.0,Life Camp,70000000.0
2025,Flat / Apartment,2,2.0,Lugbe District,35000000.0
2025,Flat / Apartment,3,3.0,Wuse 2,1300000000.0
2025,Terraced Duplex,2,2.0,Gaduwa,55000000.0
2025,Terraced Duplex,3,4.0,Guzape District,1300000000.0
2025,Terraced Duplex,4,4.0,Wuye,85000000.0
2024,Terraced Duplex,4,4.0,Asokoro District,180000000.0
2024,Detached Duplex,7,7.0,Asokoro District,1000000000.0
2024,Terraced Duplex,5,5.0,Asokoro District,1500000000.0
2024,Terraced Duplex,5,6.0,Jahi,320000000.0
2025,Detached Duplex,5,5.0,Asokoro District,680000000.0
2024,Terraced Duplex,4,5.0,Durumi,175000000.0
2023,Terraced Duplex,4,4.0,Karsana,72000000.0
2025,Terraced Duplex,4,4.0,Life Camp,180000000.0
2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
2025,Detached Duplex,5,5.0,Guzape District,700000000.0
2025,Flat / Apartment,2,2.0,Life Camp,68000000.0
2025,Flat / Apartment,2,2.0,Life Camp,60000000.0
2025,Detached Bungalow,3,3.0,Idu Industrial,65000000.0
2025,Flat / Apartment,3,3.0,Life Camp,75000000.0
2025,Flat / Apartment,3,3.0,Idu Industrial,70000000.0
2025,Terraced Duplex,4,5.0,Garki,270000000.0
2025,Terraced Duplex,4,4.0,Gwarinpa,180000000.0
2025,Flat / Apartment,2,2.0,Mabushi,130000000.0
2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
2025,Detached Bungalow,3,3.0,Gwarinpa,180000000.0
2025,Terraced Duplex,4,4.0,Jahi,300000000.0
2025,Terraced Duplex,4,4.0,Garki,270000000.0
2025,Detached Bungalow,4,4.0,Gwarinpa,190000000.0
2025,Terraced Duplex,4,4.0,Garki,270000000.0
2025,Flat / Apartment,2,3.0,Life Camp,65000000.0
2025,Flat / Apartment,3,4.0,Jahi,130000000.0
2025,Detached Duplex,5,5.0,Katampe,270000000.0
2024,Terraced Duplex,4,5.0,Katampe,500000000.0
2025,Terraced Duplex,4,5.0,Gwarinpa,195000000.0
2025,Terraced Duplex,3,3.0,Dakwo,160000000.0
2025,Detached Bungalow,2,3.0,Lugbe District,40000000.0
2025,Detached Duplex,7,7.0,Guzape District,600000000.0
2025,Detached Duplex,5,5.0,Karsana,400000000.0
2025,Detached Duplex,6,6.0,Katampe,700000000.0
2025,Detached Duplex,5,5.0,Wuye,800000000.0
2023,Terraced Duplex,5,6.0,Katampe,150000000.0
2025,Terraced Duplex,4,5.0,Jahi,300000000.0
2024,Flat / Apartment,2,3.0,Maitama District,50000000.0
2023,Flat / Apartment,2,2.0,Life Camp,70000000.0
2025,Terraced Duplex,4,4.0,Wuse,240000000.0
2025,Flat / Apartment,3,3.0,Wuye,235000000.0
2025,Terraced Duplex,4,4.0,Apo,17000000.0
2024,Detached Duplex,5,5.0,Asokoro District,650000000.0
2024,Detached Bungalow,3,3.0,Apo,40000000.0
2024,Terraced Duplex,4,5.0,Jabi,270000000.0
2025,Terraced Duplex,4,4.0,Apo,17000000.0
2024,Detached Duplex,4,4.0,Apo,230000000.0
2024,Detached Bungalow,3,3.0,Lokogoma District,70000000.0
2025,Detached Duplex,5,5.0,Wuye,800000000.0
2025,Detached Bungalow,3,5.0,Gwarinpa,130000000.0
2025,Terraced Duplex,4,4.0,Jahi,370000000.0
2025,Detached Duplex,6,6.0,Kukwaba,650000000.0
2025,Terraced Duplex,4,4.0,Life Camp,255000000.0
2024,Terraced Duplex,4,4.0,Katampe,380000000.0
2025,Flat / Apartment,3,3.0,Katampe,120000000.0
2024,Flat / Apartment,3,3.0,Gwarinpa,85000000.0
2024,Terraced Duplex,4,4.0,Kado,130000000.0
2024,Flat / Apartment,2,2.0,Life Camp,75000000.0
2024,Terraced Duplex,4,4.0,Jahi,250000000.0
2024,Detached Bungalow,3,3.0,Lokogoma District,155000000.0
2024,Terraced Duplex,4,4.0,Jahi,310000000.0
2024,Terraced Duplex,4,4.0,Mabushi,185000000.0
2025,Terraced Duplex,4,4.0,Durumi,270000000.0
2025,Terraced Duplex,3,3.0,Gwarinpa,140000000.0
2024,Flat / Apartment,3,4.0,Katampe,110000000.0
2024,Detached Duplex,4,5.0,Karsana,100000000.0
2025,Terraced Duplex,4,4.0,Jahi,370000000.0
2025,Detached Duplex,5,6.0,Wuye,950000000.0
2025,Terraced Duplex,4,4.0,Life Camp,250000000.0
2025,Detached Duplex,6,6.0,Galadimawa,320000000.0
2025,Detached Duplex,4,4.0,Katampe,610000000.0
2025,Detached Duplex,4,4.0,Asokoro District,2900000000.0
2025,Detached Duplex,5,5.0,Kukwaba,450000000.0
2025,Flat / Apartment,2,2.0,Wuye,75000000.0
2025,Terraced Duplex,3,3.0,Wuye,235000000.0
2025,Terraced Duplex,3,3.0,Karmo,75000000.0
2025,Flat / Apartment,3,4.0,Wuye,235000000.0
2025,Detached Duplex,3,3.0,Kubwa,45000000.0
2025,Detached Bungalow,4,4.0,Kubwa,50000000.0
2025,Detached Duplex,5,5.0,Lugbe District,120000000.0
2025,Terraced Duplex,4,6.0,Jahi,370000000.0
2025,Terraced Duplex,4,4.0,Durumi,10000000.0
2025,Terraced Duplex,5,4.0,Dakibiyu,205000000.0
2025,Terraced Duplex,3,3.0,Other,25000000.0
2025,Detached Duplex,4,4.0,Lugbe District,170000000.0
2025,Terraced Duplex,4,5.0,Mbora (Nbora),120000000.0
2025,Terraced Duplex,5,5.0,Guzape District,450000000.0
2025,Detached Duplex,6,6.0,Guzape District,1000000000.0
2025,Flat / Apartment,3,4.0,Katampe,120000000.0
2025,Detached Duplex,5,5.0,Gwarinpa,320000000.0
2025,Flat / Apartment,3,3.0,Katampe,120000000.0
2025,Detached Duplex,7,7.0,Guzape District,770000000.0
2025,Detached Duplex,5,5.0,Lokogoma District,75000000.0
2025,Terraced Duplex,4,4.0,Life Camp,255000000.0
2025,Terraced Duplex,6,6.0,Guzape District,9000000000.0
2025,Detached Duplex,5,5.0,Katampe,500000000.0
2025,Detached Duplex,6,7.0,Katampe,1200000000.0
2025,Terraced Duplex,4,4.0,Life Camp,170000000.0
2025,Terraced Duplex,4,4.0,Guzape District,280000000.0
2025,Detached Duplex,6,6.0,Apo,580000000.0
2025,Flat / Apartment,3,3.0,Katampe,115000000.0
2025,Flat / Apartment,3,3.0,Apo,70000000.0
2025,Terraced Duplex,4,4.0,Jahi,370000000.0
2025,Flat / Apartment,2,2.0,Asokoro District,130000000.0
2024,Terraced Duplex,4,4.0,Asokoro District,150000000.0
2024,Flat / Apartment,1,1.0,Durumi,65000000.0
2024,Detached Duplex,5,5.0,Kubwa,250000000.0
2025,Terraced Duplex,4,4.0,Jahi,300000000.0
2025,Terraced Duplex,3,3.0,Gwarinpa,140000000.0
2025,Terraced Duplex,4,4.0,Jahi,300000000.0
2025,Detached Duplex,4,6.0,Katampe,550000000.0
2025,Terraced Duplex,4,4.0,Jahi,210000000.0
2025,Detached Duplex,8,8.0,Guzape District,1800000000.0
2025,Detached Duplex,5,5.0,Kado,399999999.0
2025,Terraced Duplex,4,4.0,Jahi,300000000.0
2025,Detached Duplex,6,6.0,Katampe,650000000.0
2024,Detached Duplex,5,6.0,Katampe,550000000.0
2025,Terraced Duplex,3,3.0,Galadimawa,90000000.0
2024,Flat / Apartment,3,3.0,Katampe,120000000.0
2025,Flat / Apartment,3,4.0,Gwarinpa,90000000.0
2025,Terraced Duplex,4,4.0,Kado,190000000.0
2025,Flat / Apartment,3,3.0,Jahi,100000000.0
2024,Detached Duplex,4,4.0,Karsana,125000000.0
2024,Terraced Duplex,5,5.0,Jahi,300000000.0
2024,Flat / Apartment,3,3.0,Life Camp,90000000.0
2024,Detached Duplex,6,6.0,Guzape District,1000000000.0
2025,Terraced Duplex,4,4.0,Life Camp,135000000.0
2025,Terraced Duplex,4,4.0,Kado,190000000.0
2024,Terraced Duplex,4,4.0,Guzape District,280000000.0
2023,Detached Duplex,7,8.0,Guzape District,800000000.0
2023,Terraced Duplex,6,6.0,Guzape District,650000000.0
2025,Terraced Duplex,4,4.0,Jahi,400000000.0
2025,Terraced Duplex,3,3.0,Apo,90000000.0
2025,Terraced Duplex,3,4.0,Jabi,125000000.0
2025,Terraced Duplex,4,4.0,Mabushi,270000000.0
2024,Detached Duplex,5,6.0,Garki,825000000.0
2025,Terraced Duplex,5,5.0,Katampe,1200000000.0
2025,Terraced Duplex,4,4.0,Galadimawa,135000000.0
2025,Detached Duplex,7,8.0,Asokoro District,1300000000.0
2025,Detached Duplex,5,5.0,Jahi,400000000.0
2025,Terraced Duplex,4,4.0,Mabushi,200000000.0
2025,Terraced Duplex,4,4.0,Mabushi,200000000.0
2025,Detached Duplex,5,5.0,Lokogoma District,140000000.0
2025,Detached Duplex,4,4.0,Lugbe District,160000000.0
2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
2025,Detached Duplex,5,6.0,Apo,450000000.0
2024,Detached Duplex,5,5.0,Katampe,400000000.0
2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
2024,Detached Duplex,5,5.0,Jahi,350000000.0
2025,Flat / Apartment,2,2.0,Wuse,65000000.0
2024,Detached Duplex,6,6.0,Asokoro District,850000000.0
2025,Flat / Apartment,3,3.0,Katampe,90000000.0
2024,Detached Duplex,5,5.0,Apo,500000000.0
2025,Terraced Duplex,5,5.0,Kado,315000000.0
2024,Flat / Apartment,2,2.0,Guzape District,150000000.0
2025,Terraced Duplex,4,4.0,Life Camp,160000000.0
2025,Flat / Apartment,3,3.0,Life Camp,95000000.0
2025,Detached Duplex,5,5.0,Gwarinpa,240000000.0
2025,Detached Duplex,5,5.0,Gaduwa,250000000.0
2024,Flat / Apartment,2,2.0,Life Camp,70000000.0
2024,Flat / Apartment,2,2.0,Life Camp,90000000.0
2025,Terraced Duplex,4,4.0,Jahi,300000000.0
2024,Flat / Apartment,3,3.0,Mabushi,180000000.0
2025,Terraced Duplex,4,4.0,Life Camp,170000000.0
2024,Detached Duplex,5,5.0,Lugbe District,200000000.0
2025,Detached Duplex,5,5.0,Life Camp,380000000.0
2025,Terraced Duplex,5,5.0,Jahi,420000000.0
2025,Terraced Duplex,4,4.0,Karmo,110000000.0
2024,Detached Duplex,6,6.0,Asokoro District,850000000.0
2025,Terraced Bungalow,4,5.0,Wuye,220000000.0
2025,Terraced Duplex,4,4.0,Garki,190000000.0
2025,Flat / Apartment,2,2.0,Life Camp,70000000.0
2025,Terraced Duplex,4,4.0,Guzape District,270000000.0
2025,Detached Duplex,5,5.0,Galadimawa,90000000.0
2025,Detached Duplex,5,5.0,Guzape District,850000000.0
2025,Terraced Duplex,4,4.0,Wuse,240000000.0
2025,Detached Bungalow,3,3.0,Kubwa,25000000.0
2024,Flat / Apartment,2,2.0,Gwarinpa,45000000.0
2024,Flat / Apartment,3,3.0,Gwarinpa,65000000.0
2024,Terraced Duplex,3,3.0,Gwarinpa,75000000.0
2024,Terraced Duplex,3,3.0,Life Camp,120000000.0
2024,Terraced Duplex,4,4.0,Apo,140000000.0
2025,Flat / Apartment,3,3.0,Gwarinpa,90000000.0
2025,Flat / Apartment,3,3.0,Jahi,114000000.0
2024,Detached Duplex,5,6.0,Life Camp,380000000.0
2025,Flat / Apartment,2,2.0,Kubwa,58000000.0
2025,Detached Duplex,5,7.0,Lokogoma District,250000000.0
2025,Detached Duplex,3,3.0,Lugbe District,255000000.0
2025,Detached Duplex,7,7.0,Gudu,18000000000.0
2025,Detached Duplex,5,5.0,Asokoro District,4500000000.0
2025,Detached Bungalow,3,3.0,Lugbe District,80000000.0
2025,Terraced Duplex,4,4.0,Guzape District,350000000.0
2025,Detached Duplex,5,5.0,Asokoro District,600000000.0
2025,Detached Duplex,5,5.0,Gwarinpa,230000000.0
2025,Flat / Apartment,3,4.0,Life Camp,80000000.0
2025,Detached Duplex,7,7.0,Guzape District,2000000000.0
2025,Terraced Duplex,5,6.0,Kado,315000000.0
2025,Detached Bungalow,3,3.0,Wuse,950000000.0
2025,Detached Duplex,5,6.0,Jabi,320000000.0
2025,Detached Duplex,4,4.0,Lokogoma District,120000000.0
2025,Terraced Duplex,4,5.0,Life Camp,180000000.0
2025,Flat / Apartment,3,3.0,Life Camp,140000000.0
2023,Detached Duplex,5,5.0,Katampe,450000000.0
2023,Detached Duplex,5,5.0,Katampe,450000000.0
2024,Flat / Apartment,3,3.0,Wuye,80000000.0
2024,Terraced Duplex,4,4.0,Wuye,150000000.0
2025,Terraced Duplex,4,5.0,Gwarinpa,160000000.0
2025,Flat / Apartment,3,4.0,Life Camp,100000000.0
2024,Terraced Duplex,4,5.0,Jahi,170000000.0
2023,Detached Duplex,6,8.0,Guzape District,2000000000.0
2023,Detached Duplex,6,7.0,Guzape District,950000000.0
2025,Detached Bungalow,3,3.0,Galadimawa,160000000.0
2024,Detached Duplex,7,9.0,Guzape District,1300000000.0
2024,Detached Duplex,5,7.0,Apo,800000000.0
2023,Detached Duplex,6,7.0,Guzape District,2000000000.0
2025,Flat / Apartment,2,2.0,Life Camp,60000000.0
2025,Detached Duplex,7,7.0,Guzape District,1700000000.0
2025,Terraced Duplex,4,4.0,Life Camp,135000000.0
2025,Detached Duplex,5,5.0,Galadimawa,420000000.0
2025,Detached Duplex,5,5.0,Kado,315000000.0
2025,Detached Duplex,5,5.0,Idu Industrial,265000000.0
2025,Detached Duplex,5,5.0,Idu Industrial,330000000.0
2025,Terraced Duplex,4,4.0,Idu Industrial,110000000.0
2025,Detached Duplex,6,6.0,Guzape District,1500000000.0
2025,Terraced Duplex,4,4.0,Wuye,230000000.0
2025,Terraced Duplex,4,5.0,Life Camp,150000000.0
2025,Detached Duplex,5,5.0,Galadimawa,430000000.0
2025,Detached Duplex,8,10.0,Maitama District,8000000000.0
2025,Detached Duplex,5,6.0,Asokoro District,1000000000.0
2025,Detached Duplex,6,6.0,Kado,1200000000.0
2025,Detached Duplex,5,5.0,Asokoro District,1700000000.0
2025,Detached Duplex,4,4.0,Jabi,260000000.0
2024,Detached Duplex,7,7.0,Maitama District,2200000000.0
2024,Detached Duplex,6,6.0,Gaduwa,200000000.0
2025,Terraced Duplex,3,3.0,Jabi,125000000.0
2025,Terraced Duplex,5,5.0,Kado,315000000.0
2025,Terraced Duplex,4,4.0,Jahi,175000000.0
2025,Terraced Duplex,4,4.0,Jahi,200000000.0
2025,Terraced Duplex,4,4.0,Jahi,300000000.0
2025,Detached Duplex,4,4.0,Mabushi,450000000.0
2025,Detached Duplex,4,4.0,Galadimawa,320000000.0
2025,Terraced Duplex,4,5.0,Wuse,550000000.0
2025,Flat / Apartment,3,4.0,Katampe,75000000.0
2025,Terraced Duplex,4,4.0,Gaduwa,110000000.0
2025,Flat / Apartment,3,4.0,Karmo,58000000.0
2025,Detached Duplex,4,5.0,Jabi,270000000.0
2024,Detached Bungalow,2,2.0,Other,50000000.0
2025,Terraced Duplex,3,4.0,Life Camp,165000000.0
2024,Detached Duplex,4,4.0,Kaura,900000000.0
2025,Detached Duplex,4,5.0,Wuye,250000000.0
