id,added_on_year,type,bedrooms,bathrooms,toilets,parking_spaces,town,state,price
230,2024,Flat / Apartment,3,3,4,2,Gaduwa,Abuja,"₦170,000,000"
231,2025,Flat / Apartment,2,Unknown,3,Unknown,Life Camp,Abuja,"₦70,000,000"
232,2025,Detached Duplex,10,10,12,13,Gaduwa,Abuja,"₦750,000,000"
233,2025,House,5,7,7,5,Central Area Phase 2,Abuja,"₦700,000,000"
234,2025,Flat / Apartment,2,2,3,2,Lugbe District,Abuja,"₦35,000,000"
235,2025,Flat / Apartment,3,Unknown,4,Unknown,Wuse 2,Abuja,"₦1,300,000,000"
236,2025,Terraced Duplex,2,2,3,2,Gaduwa,Abuja,"₦55,000,000"
237,2025,Detached Duplex,11,11,12,8,Guzape District,Abuja,"₦3,000,000,000"
238,2025,Terraced Duplex,3,4,4,10,Guzape District,Abuja,"₦1,300,000,000"
239,2025,Terraced Duplex,4,4,5,Unknown,Wuye,Abuja,"₦85,000,000"
240,2024,Terraced Duplex,4,4,5,Unknown,Asokoro District,Abuja,"₦180,000,000"
241,2024,Detached Duplex,7,7,8,Unknown,Asokoro District,Abuja,"₦1,000,000,000"
242,2024,Terraced Duplex,5,5,6,Unknown,Asokoro District,Abuja,"₦1,500,000,000"
243,2024,Terraced Duplex,5,6,6,4,Jahi,Abuja,"₦320,000,000"
244,2025,Detached Duplex,5,5,6,10,Asokoro District,Abuja,"₦680,000,000"
245,2024,Terraced Duplex,4,5,4,3,Durumi,Abuja,"₦175,000,000"
246,2023,Terraced Duplex,4,4,4,3,Karsana,Abuja,"₦72,000,000"
247,2025,Terraced Duplex,4,4,5,3,Life Camp,Abuja,"₦180,000,000"
248,2024,Flat / Apartment,3,3,4,2,Gaduwa,Abuja,"₦170,000,000"
249,2025,Detached Duplex,5,5,6,6,Guzape District,Abuja,"₦700,000,000"
250,2025,Flat / Apartment,2,2,3,Unknown,Life Camp,Abuja,"₦68,000,000"
251,2025,Flat / Apartment,2,2,3,Unknown,Life Camp,Abuja,"₦60,000,000"
252,2025,Detached Bungalow,3,3,4,Unknown,Idu Industrial,Abuja,"₦65,000,000"
253,2025,Flat / Apartment,3,3,4,Unknown,Life Camp,Abuja,"₦75,000,000"
254,2025,Flat / Apartment,3,3,4,Unknown,Idu Industrial,Abuja,"₦70,000,000"
255,2025,Terraced Duplex,4,5,5,Unknown,Garki,Abuja,"₦270,000,000"
256,2025,Terraced Duplex,4,4,5,Unknown,Gwarinpa,Abuja,"₦180,000,000"
257,2025,Flat / Apartment,2,2,3,Unknown,Mabushi,Abuja,"₦130,000,000"
258,2024,Flat / Apartment,3,3,4,2,Gaduwa,Abuja,"₦170,000,000"
259,2025,Flat / Apartment,18,18,24,15,Wuse 2,Abuja,"₦1,300,000,000"
260,2025,House,18,18,23,20,Wuse 2,Abuja,"₦1,300,000,000"
261,2025,Detached Bungalow,3,3,4,6,Gwarinpa,Abuja,"₦180,000,000"
